bin_identifier	identifier	parent_identifiers	type	revision_number
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000017	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000018	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000019	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000020	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000021	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000022	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000023	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000024	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000025	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000026	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000027	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000028	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000029	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000030	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000031	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000032	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000033	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000034	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000035	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000036	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000037	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000038	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000039	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000040	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000041	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000042	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000043	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000044	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000045	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000046	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000047	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000048	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000049	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000050	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000051	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000052	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000053	amjewess:taj1895.0009.003	types:fileset	1
00c8944b478dbf03707d52d094036f9c	amjewess:taj1895.0009.003:00000054	amjewess:taj1895.0009.003	types:fileset	1
0157c94aaf90824065f6ada5c2974e05	bhl:BL001043		types:slide	1
0157c94aaf90824065f6ada5c2974e05	bhl:BL001043:BL001043	bhl:BL001043	types:fileset	1
